epoch,accuracy,loss,val_accuracy,val_loss
0,0.40996962785720825,1.3472516536712646,0.4330357611179352,1.7176939249038696
1,0.5175110697746277,1.0022276639938354,0.4900585114955902,1.6334315538406372
2,0.5744208097457886,0.8423396348953247,0.5331830978393555,1.5398437976837158
3,0.6136252284049988,0.7256547212600708,0.5607887506484985,1.4223244190216064
4,0.637782096862793,0.6343045830726624,0.5788125395774841,1.2779879570007324
5,0.6544849276542664,0.5607011914253235,0.5935991406440735,1.1151882410049438
6,0.6668219566345215,0.502461314201355,0.6083856821060181,0.9471756815910339
7,0.6754039525985718,0.456428587436676,0.6213390827178955,0.8011075854301453
8,0.6824822425842285,0.41923195123672485,0.6448754072189331,0.6735170483589172
9,0.6879673004150391,0.38890600204467773,0.6546045541763306,0.5869773030281067
10,0.6922469735145569,0.36426404118537903,0.6684203743934631,0.5231718420982361
11,0.6968122720718384,0.3440093398094177,0.6747172474861145,0.4769795536994934
12,0.6993032097816467,0.32846182584762573,0.6734604835510254,0.44614309072494507
13,0.701934278011322,0.31340378522872925,0.6767410635948181,0.42633089423179626
14,0.7049964666366577,0.30175551772117615,0.6822665333747864,0.41121357679367065
15,0.7066644430160522,0.29175257682800293,0.68569016456604,0.3970468044281006
16,0.7079746127128601,0.28212812542915344,0.689308762550354,0.3926924467086792
17,0.7107238173484802,0.2725556194782257,0.6912416219711304,0.3883392810821533
18,0.7122249007225037,0.2651742100715637,0.6923943758010864,0.38217368721961975
19,0.7136198878288269,0.25805094838142395,0.6925720572471619,0.3801110088825226
