epoch,accuracy,loss,val_accuracy,val_loss
0,0.49967360496520996,1.0146900415420532,0.5209057331085205,1.456345558166504
1,0.6417340040206909,0.6109997034072876,0.6548038721084595,0.8872665166854858
2,0.6809477806091309,0.452217161655426,0.6730097532272339,0.5352382659912109
3,0.6951490044593811,0.3766932189464569,0.6902015209197998,0.44075673818588257
4,0.7017773985862732,0.3326977491378784,0.695713996887207,0.4117952585220337
5,0.7069113850593567,0.30332016944885254,0.6972957849502563,0.40421435236930847
6,0.7107899188995361,0.28200462460517883,0.701521098613739,0.3956737518310547
7,0.7143240571022034,0.2632591128349304,0.7001950144767761,0.3965233862400055
8,0.7177987694740295,0.24873210489749908,0.6997182965278625,0.40051332116127014
9,0.7191556692123413,0.2381730079650879,0.7015038132667542,0.3986280858516693
10,0.7229027152061462,0.2279200553894043,0.7024485468864441,0.4016953408718109
11,0.7249898314476013,0.21983492374420166,0.7052741050720215,0.40035295486450195
12,0.7267192006111145,0.21082442998886108,0.7017464637756348,0.4050218164920807
13,0.7297393679618835,0.20400863885879517,0.6971917748451233,0.40764665603637695
14,0.7330946326255798,0.19723308086395264,0.697733461856842,0.40723147988319397
15,0.7327962517738342,0.19205448031425476,0.6903185248374939,0.4136326313018799
16,0.7347552180290222,0.1870838850736618,0.6943835616111755,0.4044419825077057
17,0.73331618309021,0.1837773472070694,0.7065222263336182,0.3956352770328522
18,0.7362716794013977,0.17913486063480377,0.6944398880004883,0.4136587679386139
19,0.7371653318405151,0.17484807968139648,0.7044680118560791,0.400419682264328
